Auction Number,Price,Bid,Name,Time,Plate
139,"36,750,000 ₮","300,000 ₮",С. Л***Л,09:20:08,0101 УАР
138,"36,450,000 ₮","50,000 ₮",Г. Ц***А,09:20:06,0101 УАР
137,"36,400,000 ₮","50,000 ₮",С. Л***Л,09:19:58,0101 УАР
136,"36,350,000 ₮","50,000 ₮",Д. О***Р,09:19:38,0101 УАР
135,"36,300,000 ₮","1,000,000 ₮",Г. Ц***А,09:18:52,0101 УАР
134,"35,300,000 ₮","50,000 ₮",Д. О***Р,09:17:15,0101 УАР
133,"35,250,000 ₮","1,000,000 ₮",Т. Э***Р,09:16:48,0101 УАР
132,"34,250,000 ₮","50,000 ₮",О. Б***Р,09:16:42,0101 УАР
131,"34,200,000 ₮","500,000 ₮",Л. П***Н,09:16:38,0101 УАР
130,"33,700,000 ₮","50,000 ₮",О. Б***Р,09:16:18,0101 УАР
129,"33,650,000 ₮","50,000 ₮",Б. Б***Й,09:16:10,0101 УАР
128,"33,600,000 ₮","50,000 ₮",О. Б***Р,09:16:09,0101 УАР
127,"33,550,000 ₮","50,000 ₮",Д. О***Р,09:16:01,0101 УАР
126,"33,500,000 ₮","100,000 ₮",Т. Э***Р,09:15:49,0101 УАР
125,"33,400,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:15:23,0101 УАР
124,"32,400,000 ₮","50,000 ₮",О. Б***Р,09:14:20,0101 УАР
123,"32,350,000 ₮","50,000 ₮",Д. О***Р,09:14:09,0101 УАР
122,"32,300,000 ₮","50,000 ₮",О. Б***Р,09:13:54,0101 УАР
121,"32,250,000 ₮","50,000 ₮",Б. Б***Й,09:13:49,0101 УАР
120,"32,200,000 ₮","500,000 ₮",О. Б***Р,09:13:09,0101 УАР
119,"31,700,000 ₮","50,000 ₮",Д. О***Р,09:13:01,0101 УАР
118,"31,650,000 ₮","500,000 ₮",О. Б***Р,09:12:59,0101 УАР
117,"31,150,000 ₮","50,000 ₮",Д. О***Р,09:12:45,0101 УАР
116,"31,100,000 ₮","100,000 ₮",Д. Э***Л,09:12:01,0101 УАР
115,"31,000,000 ₮","100,000 ₮",Д. Т***Г,09:11:58,0101 УАР
114,"30,900,000 ₮","100,000 ₮",Ж. Б***Ү,09:11:58,0101 УАР
113,"30,800,000 ₮","1,000,000 ₮",Т. Э***Р,09:11:57,0101 УАР
112,"29,800,000 ₮","500,000 ₮",О. Б***Р,09:11:53,0101 УАР
