"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Бигэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Бугат","Улсын дүн","3","4"
"Бугат","Хүний амьд явах эрхийн эсрэг","","1"
"Бугат","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Бугат","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Бугат","Өмчлөх эрхийн эсрэг","2","2"
"Бугат","Хөрөнгө завших","2","2"
"Дарви","Улсын дүн","5","4"
"Дарви","Хүний амьд явах эрхийн эсрэг","","0"
"Дарви","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Дарви","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Дарви","Өмчлөх эрхийн эсрэг","5","2"
"Дарви","Хулгайлах","2",""
"Дарви","Мал хулгайлах","","2"
"Дарви","Залилах","2",""
"Дэлгэр","Улсын дүн","12","16"
"Дэлгэр","Хүний амьд явах эрхийн эсрэг","1",""
"Дэлгэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Дэлгэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","5"
"Дэлгэр","Өмчлөх эрхийн эсрэг","6","7"
"Дэлгэр","Хулгайлах","","1"
"Дэлгэр","Мал хулгайлах","3","2"
"Дэлгэр","Залилах","2","2"
"Дэлгэр","Хөрөнгө завших","","1"
"Дэлгэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","4"
"Жаргалан","Улсын дүн","2","9"
"Жаргалан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Жаргалан","Өмчлөх эрхийн эсрэг","1","8"
"Жаргалан","Хулгайлах","1","5"
"Жаргалан","Мал хулгайлах","","2"
"Жаргалан","Хөрөнгө завших","","1"
"Тайшир","Улсын дүн","9","11"
"Тайшир","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Тайшир","Өмчлөх эрхийн эсрэг","2","9"
"Тайшир","Хулгайлах","","1"
"Тайшир","Мал хулгайлах","","6"
"Тайшир","Залилах","1","2"
"Тайшир","Хөрөнгө завших","1",""
"Тайшир","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4",""
"Тонхил","Улсын дүн","7","4"
"Тонхил","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Тонхил","Өмчлөх эрхийн эсрэг","2","2"
"Тонхил","Хулгайлах","2","2"
"Тонхил","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Тонхил","Авлигын эсрэг","1",""
"Төгрөг","Улсын дүн","2","2"
"Төгрөг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Төгрөг","Өмчлөх эрхийн эсрэг","1","1"
"Төгрөг","Хулгайлах","","1"
"Төгрөг","Залилах","1",""
"Халиун","Улсын дүн","10","8"
"Халиун","Хүний амьд явах эрхийн эсрэг","","1"
"Халиун","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Халиун","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","3"
"Халиун","Өмчлөх эрхийн эсрэг","8","3"
"Халиун","Хулгайлах","2",""
"Халиун","Мал хулгайлах","3","1"
"Халиун","Залилах","3","1"
"Халиун","Хүрээлэн байгаа орчны эсрэг","1","1"
"Хөхморьт","Улсын дүн","4","4"
"Хөхморьт","Хүний амьд явах эрхийн эсрэг","","0"
"Хөхморьт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Хөхморьт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","3"
"Хөхморьт","Өмчлөх эрхийн эсрэг","3","2"
"Хөхморьт","Хулгайлах","1",""
"Хөхморьт","Мал хулгайлах","2","1"
"Хөхморьт","Залилах","","1"
"Хөхморьт","Авлигын эсрэг","","1"
"Хөхморьт","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Цогт","Улсын дүн","8","14"
"Цогт","Хүний амьд явах эрхийн эсрэг","","2"
"Цогт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","2"
"Цогт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","2"
"Цогт","Өмчлөх эрхийн эсрэг","6","8"
"Цогт","Хулгайлах","","6"
"Цогт","Мал хулгайлах","2",""
"Цогт","Залилах","4","2"
"Цогт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Цээл","Улсын дүн","3","6"
"Цээл","Хүний амьд явах эрхийн эсрэг","","1"
"Цээл","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Цээл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Цээл","Өмчлөх эрхийн эсрэг","1","3"
"Цээл","Хулгайлах","1","2"
"Цээл","Залилах","","1"
"Цээл","Хүрээлэн байгаа орчны эсрэг","","1"
"Цээл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Чандмань","Улсын дүн","3","5"
"Чандмань","Хүний амьд явах эрхийн эсрэг","","0"
"Чандмань","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
