"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Рашаант","","3","1","3","2","2","1","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сайхан","4","8","7","6","2","6","7","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сэлэнгэ","5","4","5","4","3","4","2","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэшиг","3","3","1","5","4","1","7","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хангал","5","5","3","12","9","6","4","12"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хишиг-Өндөр","11","3","9","5","5","12","3","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хутаг-Өндөр","5","3","4","8","9","4","5","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянхонгор","128","124","91","130","147","135","148","242"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянхонгор","74","77","59","83","97","93","88","160"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баацагаан","2","4","1","4","5","2","4","11"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянбулаг","","","","1","1","","","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянговь","","1","2","2","1","3","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянлиг","2","3","4","","4","","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Овоо","3","7","5","8","6","7","3","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Өндөр","2","1","","3","2","2","1","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянцагаан","2","1","","1","1","","","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Богд","","","","4","3","1","1","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бөмбөгөр","6","5","4","3","1","4","9","5"
